TICid,Tsys,freq
407394748,1147.6949426823383,110
407394748,920.1322822931204,120
407394748,751.0203927390164,130
407394748,622.3240008428434,140
407394748,522.4266166667704,150
407394748,443.5288409168982,160
407394748,380.2893452426383,170
407394748,328.9163395252523,180
407394748,286.7033077389296,190
191146556,817.2239653260225,110
191146556,649.0582576474551,120
191146556,525.2129197833414,130
191146556,431.8788132157821,140
191146556,360.06251283122356,150
191146556,303.84688709500426,160
191146556,259.1468020875501,170
191146556,223.12613277600082,180
191146556,193.75095107003645,190
435680451,1109.8466174064536,110
435680451,888.566917855922,120
435680451,724.2869499172917,130
435680451,599.4090089271707,140
435680451,502.58881544053435,150
435680451,426.2293677960241,160
435680451,365.08902544880345,170
435680451,315.4929166754241,180
435680451,274.7897459998317,190
395393265,1124.8107263993666,110
395393265,900.7720155620198,120
395393265,734.4563182957303,130
395393265,608.0593541873887,140
395393265,510.0462901754921,150
395393265,432.72344213807185,160
395393265,370.8021326848022,170
395393265,320.55146615454913,180
395393265,279.29746304565185,190
250724252,1096.1963763301887,110
250724252,875.5210219983139,120
250724252,712.2479786980751,130
250724252,588.4957311088225,140
250724252,492.7803792172718,150
250724252,417.44360271982447,160
250724252,357.23222264237245,170
250724252,308.46674330571676,180
250724252,268.50415206903557,190
249862365,1125.3044403614024,110
249862365,899.5532750349826,120
249862365,732.4688147024854,130
249862365,605.7797319433495,140
249862365,507.71671101493735,150
249862365,430.4925418113417,160
249862365,368.68643305022186,170
249862365,318.5960703247526,180
249862365,277.50997789236357,190
249945230,1044.5046169097407,110
249945230,833.7376533353961,120
249945230,677.7465567149083,130
249945230,559.5594870608296,140
249945230,468.1836848316739,150
249945230,396.32204192697225,160
249945230,338.9379199177321,170
249945230,292.5008875057587,180
249945230,254.47511355514112,190
50120414,1754.3470799100878,110
50120414,1425.626298983777,120
50120414,1176.2925083582502,130
50120414,983.4025075268261,140
50120414,831.4704789952249,150
50120414,710.1926070777145,160
50120414,612.0294249932473,170
50120414,531.679616320435,180
50120414,465.2551882517174,190
51024887,1677.478243168322,110
51024887,1355.1619654235606,120
51024887,1112.221891222397,130
51024887,925.3527752639195,140
51024887,779.1180207064191,150
51024887,663.0030748170113,160
51024887,569.477447849853,170
51024887,493.2672805976147,180
51024887,430.48357201661776,190
302773669,1285.7768672360955,110
302773669,1034.6247596596843,120
302773669,847.3990611196389,130
302773669,704.5331845426982,140
302773669,593.1720465094661,150
302773669,504.956687457277,160
302773669,433.9908261736576,170
302773669,376.154858641838,180
302773669,328.4773853391274,190
408618999,1391.2044324164121,110
408618999,1120.964410724524,120
408618999,919.1558653704295,130
408618999,764.869143072171,140
408618999,644.5140016866177,150
408618999,549.0077001522823,160
408618999,472.1202381043384,170
408618999,409.3847056874028,180
408618999,357.6300466543945,190
396562848,1063.006554540664,110
396562848,850.1432911172598,120
396562848,692.3265176755876,130
396562848,572.5637590534029,140
396562848,479.79547562188213,150
396562848,406.7065764968594,160
396562848,348.2420793821917,170
396562848,300.8447857651162,180
396562848,261.96632014380475,190
251384275,1647.6164224415365,110
251384275,1338.3686460817103,120
251384275,1104.9932364576696,130
251384275,924.8831545659457,140
251384275,783.259083113785,150
251384275,670.0765682400029,160
251384275,578.371356345661,170
251384275,503.1646770237393,180
251384275,440.8032074024935,190
376353509,1362.724436195656,110
376353509,1097.6623012207401,120
376353509,899.785803468102,130
376353509,748.5858536001115,140
376353509,630.7077346840251,150
376353509,537.2109405108811,160
