Ind,source_id,ref_epoch,ra,ra_error,decl,dec_error,parallax,parallax_error,parallax_over_error,frac_para_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_obs_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,visibility_periods_used,phot_g_n_obs,phot_g_mean_flux,phto_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_G,G_rp,radial_velocity,radial_velocity_error,l,b,ecl_lat,ecl_lon,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,radius_val,radius_percentile_upper,radius_percentile_lower,lum_val,lum_percentile_upper,lum_percentile_lower,dist_c,fwhm_lo_c,fwhm_hi_c,sd_c,teff_val_c,sptype_c
131,6082806153754882304,2015.5,203.8,0.0608334,-48.3574,0.055260699999999996,50.9191,0.0917494,554.98,0.00180187,359.87800000000004,0.107825,-64.2625,0.12843800000000002,107,222.139,0.0,0.0,8,129,1262040.0,564.72,2234.81,10.4357,11.5034,9.44117,2.0622599999999998,1.06775,0.9945129999999999,28.9688,0.11239500000000001,310.39599999999996,13.8791,-35.3785,221.78400000000002,100001,3862.88,3768.33,4055.32,0.2345,0.0635,0.4561,0.0,0.0,0.0,0.0,0.0,0.0,19.6391,19.5976,19.6809,0.0353849,0.0,M0V
260,6828880185392725632,2015.5,318.673,0.0603067,-22.2924,0.047245800000000004,38.2503,0.0866487,441.441,0.00226531,104.01700000000001,0.123323,-241.47299999999998,0.08272719999999999,178,967.0260000000001,0.342509,34.8271,8,194,102450.0,39.8215,2572.74,13.1621,14.6838,11.9584,2.72542,1.52176,1.20367,0.0,0.0,26.0374,-40.9063,-6.02663,314.322,100001,3967.92,3519.0,4191.66,0.10300000000000001,0.0483,0.1868,0.0,0.0,0.0,0.0,0.0,0.0,26.1439,26.0743,26.2138,0.05922080000000001,0.0,K9V
291,5158286375678363648,2015.5,41.0639,0.0794736,-13.6046,0.091214,36.6832,0.108096,339.358,0.00294674,187.899,0.160551,-101.63,0.172994,105,566.929,0.47318599999999994,29.503,8,106,47236.1,54.3362,869.331,14.0027,15.7388,12.7322,3.0066200000000003,1.73613,1.27049,0.0,0.0,191.40200000000002,-60.4084,-28.02,33.8883,100002,4015.5,3783.47,4305.9,0.3365,0.2703,0.4121,0.0,0.0,0.0,0.0,0.0,0.0,27.2609,27.1666,27.3558,0.08032760000000001,0.0,K8V
297,6770313530317154560,2015.5,288.889,0.07085939999999999,-24.1798,0.06718869999999999,36.3915,0.0760459,478.54699999999997,0.00208966,118.552,0.126467,-102.235,0.11386600000000001,107,414.765,0.151695,6.4102,8,121,68199200.0,42720.2,1596.42,6.10392,6.40395,5.69495,0.7089989999999999,0.300029,0.40897,-24.6998,0.17216199999999998,13.4553,-15.7866,-1.8604900000000002,287.187,100001,6153.0,6088.0,6215.0,0.16699999999999998,0.032,0.3261,1.24511,1.2718399999999999,1.2203899999999999,2.00197,2.00737,1.99658,27.4791,27.4117,27.5469,0.0574187,0.0,F8V
377,3824364263339264768,2015.5,145.168,0.056209,-4.57699,0.0737438,33.4217,0.062369299999999996,535.868,0.00186613,61.63399999999999,0.10431800000000001,-357.05800000000005,0.134185,117,391.725,0.30696,18.74,8,117,72993.0,42.9055,1701.25,13.5302,15.0729,12.3236,2.74937,1.5427899999999999,1.20659,0.0,0.0,240.016,34.1093,-17.4389,149.05200000000002,100001,4106.2,3876.5,4144.37,0.16899999999999998,0.10300000000000001,0.225,0.0,0.0,0.0,0.0,0.0,0.0,29.9209,29.8553,29.9868,0.055832799999999995,0.0,K7V
418,740140482780630016,2015.5,150.446,0.0549049,27.4095,0.08293969999999999,32.3879,0.08455560000000001,383.036,0.00261072,97.8886,0.106848,-283.29,0.119707,240,801.29,0.314004,23.6831,8,239,38812.3,18.6174,2084.73,14.2159,16.0401,12.9249,3.1151400000000002,1.82412,1.29102,0.0,0.0,202.44400000000002,52.4876,14.3701,142.861,100001,3648.42,3307.0,3861.3,0.325,0.2549,0.76,0.0,0.0,0.0,0.0,0.0,0.0,30.8762,30.7816,30.9714,0.0806052,0.0,M1.5V
704,6093537047945837440,2015.5,208.91299999999998,0.0608784,-49.9474,0.113197,27.1488,0.140229,193.60299999999998,0.0051652,-251.285,0.17130499999999999,-67.4641,0.227946,177,838.796,0.458712,25.1452,8,200,18955.8,16.2426,1167.05,14.994000000000002,16.9495,13.6664,3.28314,1.9554900000000002,1.32765,0.0,0.0,313.399,11.6148,-35.3477,226.32299999999998,100001,3824.93,3478.39,4284.17,0.034,0.0082,0.4468,0.0,0.0,0.0,0.0,0.0,0.0,36.8359,36.6133,37.0613,0.190272,0.0,M0.5V
899,2623780059244153984,2015.5,340.57300000000004,0.0410796,-5.73304,0.03627469999999999,25.014,0.044213,565.761,0.00176753,205.476,0.088824,18.589000000000002,0.06616699999999999,115,144.977,0.0,0.0,8,112,3855780.0,1656.18,2328.12,9.22308,9.7851,8.555069999999999,1.23003,0.562016,0.668017,-10.9491,0.5172859999999999,61.9356,-52.577,2.29195,339.901,100002,4841.27,4750.0,4924.9,0.1935,0.0347,0.3568,0.751045,0.7801859999999999,0.7257560000000001,0.27916799999999997,0.279879,0.278457,39.9779,39.8948,40.0612,0.0706577,0.0,K3V
